score	verdict	file	quote	nearest_vtt_line
0.1345	unverified	04_cheese_business_plans_and_departure_preparations.md	Alphonse 'Big Al' Kalazorn, she turns to Alphonse 'Big Al' Kalazorn. I didn't know you had such friends with such class, Alphonse 'Big Al' Kalazorn. Alphonse 'Big Al' Kalazorn turns to her and goes, neither did I.	Oh, he goes, in that case, might I suggest that you might want to go talk to the… and she mentions the high priest at the temple.
0.6316	unverified	01_return_to_phandalin.md	You know it's stolen… Every last copper, it's blood.	Last copper, it's blood.
0.6466	unverified	05_arrival_in_neverwinter.md	He's like, every… you've created a cool scene... there's a few more people who look like… dressed like Brewbarry starting to show up.	He's like, every… you've created a cool scene, and it's time to… and, like, you know, you're creating a bit of a scene here. There's a few more people who look like… dressed like Brewbarry starting to show up. You're starting to realize that there's some kind of theme about this.
0.6467	unverified	02_a_hero_s_welcome_at_stonehill_inn.md	You know, Ser Kaelen, I'm sorry. We had to kill a dragon, we had to stop an orcan game...	We had to kill a dragon, we had to stop an orcan game, I'll see the whole way.
0.6667	unverified	03_the_universal_basic_treasure_proclamation.md	Okay. Alright, so you're on the town green, and, you know, the various, the various, you know, people start to gather, you see members of the, the town square, Harbin himself is starting to show, has shown up, I mean, Petunia is there. Right. Alphonse 'Big Al' Kalazorn Kazun is there, Kayleen Elderleaf is there, Linane Greenwood is there, Ser Kaelen is there, I mean, they're all there. Alright. Even Spider-Man, Elsa, his bar team, Barthin, the people working, you know, the woodworker, they're all there, right? I mean, there's some folks who are transients who are… And they're all kind of looking at you now.	Right. Alphonse "Big Al" Kalazorn Kazun is there, Kayleen Elderleaf is there, Linane Greenwood is there, Ser Kaelen is there, I mean, they're all there. Alright. Even Spider-Man, Elsa, his bar team, Barthin, the people working, you know, the woodworker, they're all there, right? I mean, there's some folks who are transients who are…
0.6728	unverified	03_the_universal_basic_treasure_proclamation.md	Oh, dude, no, no, no, you rolled with advantage. You rolled with advantage. No, no, this one was an advantage. It's a good thing you rolled that for a 17. That one was at 1, but because of your special abilities? Yes.	Oh, dude, no, no, no, you rolled with advantage. You rolled with advantage. No, no, this one was an advantage.
0.7013	unverified	01_return_to_phandalin.md	You haven't been to Phandalin since you defeated Cryonvane, right?" / "You're still heroes, but, you know, it's yesterday's news.	And so, you have been in Phandalin since the last time we spoke. So, people, you know, people… you're the heroes, right? You're still heroes, but, you know, it's yesterday's news.
0.7131	unverified	03_the_universal_basic_treasure_proclamation.md	Yeah, yeah, yeah, yeah, there's, like, so then, okay, so. That was totally not expected. Alright, take your treasure gift. Yeah, that was, that was a very clever solution to the problem. Give yourself 5%, I guess, of your treasure.	That was totally not expected. Alright, take your treasure gift. Yeah, that was, that was a very clever solution to the problem.
0.7160	unverified	03_the_universal_basic_treasure_proclamation.md	Yeah, the blood might… Yes, yes, you've effectively.	Yes, yes, you've effectively.
0.7467	unverified	03_the_universal_basic_treasure_proclamation.md	Alright. Okay. So… So, yes. Quite, so you, you…	So, yes. Quite, so you, you…
0.8140	unverified	03_the_universal_basic_treasure_proclamation.md	What I wanna say is… That your government, led by Western over here. Believes that the way that adventurers should work is that they should go do heroic things, and then they should claim all the treasure for themselves.	Believes that the way that adventurers should work is that they should go do heroic things, and then they should claim all the treasure for themselves.
0.8200	unverified	03_the_universal_basic_treasure_proclamation.md	Well, it's been wandered through the UBD. Effectively, yes.	Well, it's been wandered through the UBD.
0.8810	near	05_arrival_in_neverwinter.md	Alright, we're done for the night, I think.	We're, we're done for the night, I think.
0.9302	near	05_arrival_in_neverwinter.md	I don't know if I'm welcome there anymore.	I don't know that I'm welcome there anymore.
0.9462	near	03_the_universal_basic_treasure_proclamation.md	In fact, the, the, the, the role in Arcana check.	In fact, the, the, the role in Arcana check.
0.9669	near	04_cheese_business_plans_and_departure_preparations.md	You write me a note? Yeah, so she writes your note, and then she says that, you know, normally the Lion Shield Coster would be delighted to handle distribution of… of the, the, the…	Alright, and… You write me a note? Yeah, so she writes your note, and then she says that, you know, normally the Lion Shield Coster would be delighted to handle distribution of… of the, the… the…
0.9899	near	04_cheese_business_plans_and_departure_preparations.md	Alright. Alright. So, you arrive in Neverwinter. Alrighty, the journey is uneventful, surprisingly.	Alright. Alright. So, you arrive in Neverwinter. Alrighty, the journey is uneventful, surprisingly,
0.9921	near	04_cheese_business_plans_and_departure_preparations.md	Oh, yes, well, you know, they have a round of cheese, they're like, do you want the fancy cheese, the not-so-fancy cheese, the expensive cheese? Like, they're cheese choices, you know, do they want the cheese when Petunia ate it, the grass from the upper part of the field, or do you want it from the lower part?	Oh, yes, well, yes, you know, they have a round of cheese, they're like, do you want the fancy cheese, the not-so-fancy cheese, the expensive cheese? Like, they're cheese choices, you know, do they want the cheese when Petunia ate it, the grass from the upper part of the field, or do you want it from the lower part?
0.9943	near	04_cheese_business_plans_and_departure_preparations.md	She does say… which she says is that, you know, she says that the best thing to do is, to go to Neverwinter to go see if you could go secure some capital at the counting house.	She does say… which she says is that, you know, she says that the best thing to do is to, go to Neverwinter to go see if you could go secure some capital at the counting house.
