score	verdict	file	quote	nearest_vtt_line
0.2081	unverified	03_the_universal_basic_treasure_proclamation.md	The Privy Council had heard this proposal, and we were waiting for a few more days before we would make a formal announcement, but I think that since we didn't know it, I think this is as good a way to make an announcement as possible. All hail to Vukradin and the…	I mean, so this is an excellent opportunity for you to sort of walk into town and get in the town square and make a note of that.
0.4644	unverified	02_a_hero_s_welcome_at_stonehill_inn.md	Practically speaking, the way I see it is Valphine thought that Brother Aldric was a fool who couldn't understand the real power of Lathander.	Are you… are you the drow that Brother Aldrich speaks of? The one who converted to the blessed teachings of the Morning Lord?
0.5155	unverified	01_return_to_phandalin.md	They noted that Neverwinter commissions cut was something that they would need to be negotiated, and Brewbarry made a quiet mental note to strongly suggest to whoever was managing the Dragon's recovered hoard that a finder's fee would be the right and proper thing to offer.	They noted that Neverwinter commissions cut was something that they would need to be negotiated, and Gruberry made a quiet mental note to strongly suggest to whoever was managing the Dragon's recovered hoard that a finder's fee would be the right and proper thing to offer.
0.5511	unverified	05_arrival_in_neverwinter.md	this guy happens to be a follower of the Morning Lord. And he's like, he goes for a moment. You have the sign of the Morning Lord! You have the blessing of her! You have the blessing! Pauses and goes. Are you… are you the drow that Brother Aldric speaks of? The one who converted to the blessed teachings of the Morning Lord?	Are you… are you the drow that Brother Aldrich speaks of? The one who converted to the blessed teachings of the Morning Lord?
0.5798	unverified	05_arrival_in_neverwinter.md	Ser Kaelen, just before you left, said… came with a… It left you a note about the fire… the necklace of fireballs. It's an Alagondar, quiet, branch, no title, no army, just a family that lost their dead's belongings to grave robbers a generation ago and never stopped looking. The recovery office matched the provenance last tenday. You can put it down, you can actually do the thing you keep saying you want to do.	It's an allegondre, quiet, branch, no title, no army, just a family that lost their deads belonging to grave robbers a generation ago and never stopped looking. The recovery office matched the provenance last 10 day. You can put it down, you can actually do the thing you keep saying you want to do.
0.5967	unverified	05_arrival_in_neverwinter.md	as you arrive, you see, up in the far distance, Castle Neverember, and Castle Never. Known as Castle Never because it has never been conquered. And Lord Neverember has been spending large amounts of money and taxing people to complete its reconstruction.	And Lord Nevember has been spending large amounts of money and taxing people to complete its reconstruction.
0.6076	unverified	04_cheese_business_plans_and_departure_preparations.md	And a little [blurb], readable.	And, and a, you know, a little but, you know, readable.
0.6178	unverified	05_arrival_in_neverwinter.md	It's an Alagondar, so… Yes, so you… there is a… I don't want to find out the name… Alright, yes. So, Perrin… Alagondar. Is his name.	Yes, so you… there is a… I don't want to find out the name…
0.6208	unverified	05_arrival_in_neverwinter.md	As you walk through the Protector's Enclave, mounted on a building, at eye level, is a carved stone plaque. In honor of the liberators of the Ordning, through whose courage and through the combined strength of the Lord's Alliance, the giant kingdoms were restored to order in the north, and [kept] secured. And then it says, beside it is a Lord's Alliance Herald in blue and gold livery distributing a broadsheet.	In honor of the liberators of the Orning, through whose courage and through the combined strength of the Lord's Alliance, the giant kingdoms were restored to order to north, and the secured.
0.6638	unverified	05_arrival_in_neverwinter.md	It's a tavern that had a turtle. Chef. That Soma used to frequent. Right? Because… who could make the kind of home food you could get back home. Almost.	Right? Because… who could make the kind of hope food you could get back home.
0.6767	unverified	05_arrival_in_neverwinter.md	Valphine, you immediately recognized the music. It was Vukradin's old music. Like, do you want to ask about it, or, like, Vukradin, you're, like, [continue?], or just keep moving on.	Like, do you want to ask about it, or, like, Vugrid, you're, like, cut, or just keep moving on.
0.6931	unverified	05_arrival_in_neverwinter.md	And… and the gate guards checks your faces against a writ. Apparently, someone from Phandalin sent word ahead that you're expected.	Apparently, someone from Vandalin sent word ahead that you're expected.
0.7238	unverified	06_the_exotic_armorer_of_neverwinter.md	Make sure there's an emblem of Lathander on the back of the armor.	emblem of Lathander on the back of the,
0.7349	unverified	05_arrival_in_neverwinter.md	Just sounds to me, they're making money using your good name. Right. That doesn't sound…	Just sounds to me, you could, like, they're making money using your good name.
0.7461	unverified	05_arrival_in_neverwinter.md	So it says that it will cost us 1,675 gold, and… I'm hoping that we can barter this, staff and bird calls as part of the,	I'm hoping that we can barter this, staff and bird calls as part of the,
0.7548	unverified	05_arrival_in_neverwinter.md	You see, an upcoming drow invasion into Neverwinter, and the people just throw open the doors, they're like, come in! Or they just slaughter them all. This'll go really well, guys.	You see, like, an upcoming drow invasion into Neverwinter, and the people just, like, throw open the doors, they're like, come in!
