score	verdict	file	quote	nearest_vtt_line
0.0319	unverified	03_the_universal_basic_treasure_proclamation.md	if I could suggest, Bukridin. Perhaps a subcommittee of the Privy Council, led by myself, obviously with your supervision, could provide a draft set of rules in time for next week, maybe two weeks from now, for how the treasure would be distributed.	Nothing in general, nothing in general, nothing in general, but you know, I mean, if this is a blessing from Lathander, it would be, it would be good for Valphine to go and talk to the high priest at the Spire of the Morning Lord, to find out what does it tell her? What guide, what is Lathander trying to tell her?
0.6105	unverified	03_the_universal_basic_treasure_proclamation.md	Yeah, yeah, so all… the blood might… Yes, yes, you've effectively.	Yes, yes, you've effectively.
0.6857	unverified	02_a_hero_s_welcome_at_stonehill_inn.md	But, but they are inevitable… they are, they are in… they are, they have been picked.	But, but they are never… they are, they are inevitable.
0.7282	unverified	03_the_universal_basic_treasure_proclamation.md	Well, I mean, strictly speaking, it may not have been stolen by… from me, but it may have been stolen from somebody else a long time ago, and so by you bringing it into market… hold on, by you bringing it into the market. I, I get to… it recirculates… Right? And so when you spend that money, you're not… you're making it mine, because when it's over there in the hands of the monsters.	Well, I mean, strictly speaking, it may not have been stolen by… from me, but it may have been stolen from somebody else a long time ago, and so by you bringing it into market… hold on, by you bringing it into the market.
0.7450	unverified	03_the_universal_basic_treasure_proclamation.md	I think that is an extraordinary idea, and that is why we have declared him ordinary, we have declared the income that he produces as part of his adventuring careerdin's UBT.	Just in case you thought that was, you know, me not suddenly remembering Vukradin's name, because I think that that is an extraordinary idea, and that is why we have declared him ordinary, we have declared the income that he produces as part of his adventuring careerdin's UBT.
0.8113	unverified	02_a_hero_s_welcome_at_stonehill_inn.md	Oh, he goes, in that case, might I suggest that you might want to go talk to the… and she mentions the high priest at the temple. The Spire, Spire of the Mid… the Spire of the Morning Lord.	Oh, he goes, in that case, might I suggest that you might want to go talk to the… and she mentions the high priest at the temple.
0.8148	unverified	05_arrival_in_neverwinter.md	And it was… for,	And it was…
0.8200	unverified	03_the_universal_basic_treasure_proclamation.md	Well, it's been wandered through the UBD. Effectively, yes.	Well, it's been wandered through the UBD.
0.8245	unverified	03_the_universal_basic_treasure_proclamation.md	Brendan Giles Slipper-Shine are there, right? … they're, you know, they're engaged, they're, they're looking sunburnt. Again.	The burning guiles are there, and they're, they're, you know, they're engaged, they're, they're looking sunburnt. Again.
0.8254	unverified	02_a_hero_s_welcome_at_stonehill_inn.md	You know, Ser Kaelen, I'm sorry. We had to kill a dragon, we had to stop an orcan game, I'll see the whole way.	We had to kill a dragon, we had to stop an orcan game, I'll see the whole way.
0.8258	unverified	02_a_hero_s_welcome_at_stonehill_inn.md	It's, Sir Arielle, Elyara… like, I can't remember the name of it, but Eliara… Ellara… shit.	like, I can't remember the name of it, but Eliara… Ellara… shit.
0.8452	unverified	02_a_hero_s_welcome_at_stonehill_inn.md	Sure. It is… it is… Ser Kaelen is at Toblin, is the Stonehill at Spider-Man's Inn.	It's not that he's… is, Ser Kaelen is at Toblin, is the Stonehill at Spider-Man's Inn.
0.8571	near	04_cheese_business_plans_and_departure_preparations.md	Alright, the journey is uneventful, surprisingly,	Alright. Alright. So, you arrive in Neverwinter. Alrighty, the journey is uneventful, surprisingly,
0.8580	near	03_the_universal_basic_treasure_proclamation.md	That your government, led by Western over here. … Believes that the way that adventurers should work is that they should go do heroic things, and then they should claim all the treasure for themselves.	Believes that the way that adventurers should work is that they should go do heroic things, and then they should claim all the treasure for themselves.
0.8955	near	02_a_hero_s_welcome_at_stonehill_inn.md	He then looks at Valphine and notices that she has the golden eyes.	And, Brewbarry. And, Valphine. Then he looks at Valphine and notices that she has the golden eyes.
0.9083	near	05_arrival_in_neverwinter.md	Like, commercial, the real stuff. Yeah, like, man, I, you know, I think Brewbarry's more authentic.	Like, commercial, the real stuff. Yeah, like, I don't know, like, man, I, you know, I think Brewbarry's more authentic.
0.9120	near	04_cheese_business_plans_and_departure_preparations.md	Brewbarry, this is your personal quest, now it is my personal quest.	this is your personal quest, now it is my personal quest.
0.9153	near	05_arrival_in_neverwinter.md	Dude. ... bathrobes. Give it a rest. You sound like me with UBT.	bathrobes. Give it a rest. You sound like me with UBT.
0.9250	near	04_cheese_business_plans_and_departure_preparations.md	Alright, so you know, manage my wealth, come up with a business plan, I want to hear about it, I'll give you a month.	Okay, so, anyway, you know, manage my wealth, come up with a business plan, I want to hear about it, I'll give you a month.
0.9250	near	05_arrival_in_neverwinter.md	Gary, we have these, dragon scales that we…	We have these, dragon scales that we…
0.9298	near	04_cheese_business_plans_and_departure_preparations.md	No. No, it doesn't. It had some, but it doesn't have all.	No, it doesn't. It had some, but it doesn't have all. Like, all would require rail… all would require railroading.
0.9450	near	03_the_universal_basic_treasure_proclamation.md	They're, they're, like, dancing, they're chillaxing, you know, everybody's feeling cool and relaxed, alright.	They're, they're, like, they're, like, dancing, they're chillaxing, you know, everybody's feeling cool and relaxed, alright.
0.9644	near	01_return_to_phandalin.md	Right? I mean, you know, you're still heroes, there's still, you know, hi, how are you, as you block by Barthin's Provisions. Hi, how are you? You know, the discount's still there, maybe?	Yeah, you know, you're still heroes, there's still, you know, hi, how are you, as you block by Barthin's Provisions. Hi, how are you? You know, the discount's still there, maybe?
0.9794	near	06_the_exotic_armorer_of_neverwinter.md	So he says, Valphine, that is too generous an award. 300 gold pieces for the chosen of Lathander.	He says, he says, Valphine, that is too generous an award. 300 gold pieces for the chosen of Lathander.
0.9863	near	06_the_exotic_armorer_of_neverwinter.md	We have these dragon scales that we…	We have these, dragon scales that we…
